town	trump	clinton	stein	roque	johnson
Albany	182	195	7	2	13
Bartlett	730	1094	21	0	84
Brookfield	262	156	3	1	25
Chatham	103	79	3	0	19
Conway	2204	2717	57	2	209
Eaton	109	157	2	0	14
Effingham	481	317	6	0	38
Freedom	476	425	14	1	36
Hale's Location	97	26	0	0	0
Hart's Location	14	17	0	0	3
Jackson	212	430	5	0	28
Madison	654	721	13	5	70
Moultonborough	1888	1148	16	0	126
Ossipee	1294	770	18	2	94
Sandwich	360	578	13	1	34
Tamworth	761	739	24	2	69
Tuftonboro	891	674	17	0	55
Wakefield	1741	873	20	0	111
Wolfeboro	2176	1871	36	4	157
Alstead	444	522	20	1	37
Chesterfield	910	1166	11	3	71
Dublin	370	598	6	2	40
Fitzwilliam	623	577	0	0	52
Gilsum	231	197	9	0	13
Harrisville	202	446	7	1	21
Hinsdale	733	917	21	4	47
Jaffrey	1284	1311	39	5	150
Keene Ward 1	640	1462	46	3	97
Keene Ward 2	692	1648	40	4	86
Keene Ward 3	736	1424	32	1	84
Keene Ward 4	791	1581	42	0	87
Keene Ward 5	972	1817	38	2	107
Marlborough	408	711	10	2	34
Marlow	200	219	2	1	19
Nelson	138	259	9	0	17
Richmond	357	269	5	0	34
Rindge	1961	1292	24	4	163
Roxbury	58	72	3	0	6
Stoddard	378	350	8	1	28
Sullivan	172	196	3	0	25
Surry	244	237	4	0	14
Swanzey	1828	1807	34	3	144
Troy	509	422	8	0	60
Walpole	755	1169	27	3	104
Westmoreland	411	555	11	1	41
Winchester	829	840	25	0	75
At. & Gil. Academy Grant	0	0	0	0	0
Bean's Grant	0	0	0	0	0
Bean's Purchase	0	0	0	0	0
Berlin	1766	1954	34	7	156
Cambridge	1	1	0	0	0
Carroll	245	213	6	0	9
Chandler's Purchase	0	0	0	0	0
Clarksville	95	68	4	0	5
Colebrook	593	359	13	3	51
Columbia	219	109	2	0	13
Crawford's Purchase	0	0	0	0	0
Cutt's Grant	0	0	0	0	0
Dalton	280	192	5	0	18
Dix's Grant	0	0	0	0	0
Dixville	2	4	0	0	1
Dummer	99	65	2	0	6
Errol	135	54	0	0	6
Erving's Location	0	0	0	0	0
Gorham	693	770	11	1	58
Green's Grant	0	1	0	0	0
Hadley's Purchase	0	0	0	0	0
Jefferson	357	216	5	0	24
Kilkenny	0	0	0	0	0
Lancaster	841	657	23	4	58
Low & Burbank's Grant	0	0	0	0	0
Martin's Location	0	0	0	0	0
Milan	414	298	8	0	24
Millsfield	16	4	0	0	0
Northumberland	539	387	18	4	42
Odell	0	0	0	0	0
Pinkham's Grant	0	3	0	0	0
Pittsburg	343	121	3	0	5
Randolph	79	160	2	1	7
Sargent's Purchase	0	0	0	0	0
Second College Grant	0	0	0	0	0
Shelburne	116	125	0	0	10
Stark	186	98	3	0	6
Stewartstown	231	95	4	1	19
Stratford	126	132	3	0	5
Success	0	0	0	0	0
Thompson & Meserve's Pur.	0	0	0	0	0
Wentworth's Location	13	5	0	0	0
Whitefield	563	472	24	2	53
Alexandria	546	343	10	0	42
Ashland	520	504	11	1	47
Bath	292	211	5	0	27
Benton	105	72	5	0	6
Bethlehem	573	796	24	0	48
Bridgewater	423	267	4	0	24
Bristol	900	626	21	4	74
Campton	870	890	20	3	88
Canaan	850	938	26	2	65
Dorchester	136	51	12	0	15
Easton	65	118	3	0	7
Ellsworth	24	26	2	0	5
Enfield	931	1445	25	1	119
