town	biden	buttigieg	gabbard	klobuchar	sanders	steyer	warren
Acworth	13	40	6	33	91	4	19
Charlestown	69	162	28	123	320	26	63
Claremont Ward 1	33	145	29	62	195	16	44
Claremont Ward 2	66	206	23	116	278	29	66
Claremont Ward 3	59	165	16	82	201	24	51
Cornish	38	128	13	108	123	10	53
Croydon	6	41	7	21	30	5	8
Goshen	13	30	13	25	38	2	10
Grantham	104	338	34	292	213	28	145
Langdon	12	31	2	35	43	2	11
Lempster	12	35	10	44	60	7	16
Newport	87	223	44	150	229	34	100
Plainfield	54	272	17	161	190	22	123
Springfield	27	96	15	57	77	12	32
Sunapee	87	190	34	222	186	27	77
Unity	27	48	9	38	91	6	9
Washington	17	38	13	57	55	10	11
Barrington	147	553	83	404	587	85	207
Dover Ward 1	84	317	40	201	658	47	200
Dover Ward 2	107	304	32	215	631	36	202
Dover Ward 3	141	421	39	372	425	47	171
Dover Ward 4	130	374	29	278	439	53	153
Dover Ward 5	104	283	41	222	370	41	116
Dover Ward 6	92	259	27	174	279	45	120
Durham	278	1119	57	754	1660	101	611
Farmington	82	189	39	139	294	50	77
Lee	114	346	42	341	371	42	177
Madbury	48	165	14	129	158	13	63
Middleton	28	57	9	42	57	24	20
Milton	40	156	35	145	195	33	39
New Durham	42	96	19	134	115	22	37
Rochester Ward 1	100	221	42	217	236	47	67
Rochester Ward 2	68	243	31	162	270	48	79
Rochester Ward 3	84	200	44	145	247	50	61
Rochester Ward 4	107	186	39	153	256	41	81
Rochester Ward 5	77	218	38	151	193	45	60
Rochester Ward 6	58	176	32	137	276	45	81
Rollinsford	44	159	27	119	234	18	53
Somersworth Ward 1	49	119	28	81	157	28	67
Somersworth Ward 2	55	95	14	61	130	13	50
Somersworth Ward 3	45	79	15	60	140	25	37
Somersworth Ward 4	39	118	17	88	135	23	42
Somersworth Ward 5	15	81	14	50	135	14	20
Strafford	72	230	40	204	268	39	76
Atkinson	177	410	38	285	277	48	113
Auburn	73	319	38	271	253	46	85
Brentwood	86	323	35	203	205	37	100
Candia	68	158	40	189	162	45	52
Chester	78	311	46	218	217	29	49
Danville	52	213	42	137	201	39	26
Deerfield	63	228	35	243	214	55	67
Derry	428	1436	205	884	1585	216	420
East Kingston	38	139	14	117	111	23	49
Epping	121	363	64	250	383	73	115
Exeter	387	1309	122	1156	983	156	576
Fremont	69	221	24	187	188	40	42
Greenland	113	323	35	271	222	48	99
Hampstead	148	476	46	346	335	64	118
Hampton	486	1048	170	898	782	187	295
Hampton Falls	57	132	11	120	95	17	60
Kensington	47	146	16	119	130	18	56
Kingston	86	285	32	227	296	45	82
Londonderry	427	1381	136	1031	1011	229	408
New Castle	65	91	6	118	46	15	33
Newfields	53	146	9	132	115	17	47
Newington	20	50	13	54	62	8	19
Newmarket	175	740	81	477	891	59	311
Newton	82	275	38	145	230	38	69
North Hampton	156	337	39	291	223	48	131
Northwood	63	224	27	187	280	53	74
Nottingham	83	283	47	229	342	56	115
Plaistow	115	375	44	221	331	81	97
Portsmouth Ward 1	126	358	33	330	401	49	200
Portsmouth Ward 2	154	448	36	393	534	44	278
Portsmouth Ward 3	148	279	36	217	353	31	142
Portsmouth Ward 4	116	270	29	252	316	41	120
Portsmouth Ward 5	136	361	14	436	333	27	234
Raymond	159	378	78	280	392	84	137
Rye	218	427	39	466	281	77	174
Salem	503	1381	171	792	1164	230	308
Sandown	79	334	41	188	271	40	64
Seabrook	148	325	46	165	243	81	96
South Hampton	22	66	33	46	51	7	33
Stratham	180	677	75	521	366	73	226
Windham	264	883	79	644	456	85	208
Allenstown	65	183	26	148	223	44	41
Andover	37	138	29	135	179	27	61
Boscawen	47	149	26	113	187	24	45
Bow	184	657	69	600	405	69	247
Bradford	34	102	16	76	109	17	45
Canterbury	73	182	29	192	172	21	95
Chichester	42	130	25	135	120	36	39
Concord Ward 1	102	245	39	185	311	39	117
Concord Ward 2	69	203	35	180	276	50	75
Concord Ward 3	52	186	18	216	228	31	74
Concord Ward 4	63	264	36	183	391	28	179
Concord Ward 5	118	378	23	477	240	24	208
Concord Ward 6	76	207	33	145	419	44	115
Concord Ward 7	130	320	34	387	319	54	186
Concord Ward 8	107	210	22	199	285	51	80
Concord Ward 9	90	182	22	182	312	40	75
Concord Ward 10	141	337	42	419	289	63	117
Danbury	13	48	19	32	65	13	12
Dunbarton	50	145	26	169	126	33	46
Epsom	68	178	25	179	167	33	62
Franklin Ward 1	37	94	18	68	125	20	27
Franklin Ward 2	29	81	21	37	104	16	19
Franklin Ward 3	39	167	25	92	117	27	47
Henniker	92	236	61	250	319	45	107
Hill	17	38	6	35	38	12	11
Hooksett	234	654	79	664	678	89	166
Hopkinton	142	518	55	506	417	56	235
Loudon	116	265	55	206	244	50	55
Newbury	38	153	19	146	118	27	54
New London	143	433	16	417	248	22	120
Northfield	69	193	31	130	210	0	53
Pembroke	138	440	55	298	376	67	104
Pittsfield	39	111	32	75	178	29	52
Salisbury	22	91	15	49	75	12	15
Sutton	37	130	14	122	143	15	55
Warner	53	184	36	175	230	28	81
Webster	27	106	24	119	100	21	26
Wilmot	30	128	7	112	93	17	31
Amherst	305	1005	106	893	589	82	306
Antrim	35	116	32	105	186	23	62
Bedford	451	1302	161	1385	830	166	401
Bennington	14	70	10	42	107	17	23
Brookline	116	380	73	217	291	47	152
Deering	17	53	20	79	103	16	30
Francestown	38	83	14	108	108	12	46
Goffstown	291	926	127	756	812	171	281
Greenfield	14	107	8	68	122	18	24
Greenville	26	67	19	44	112	23	22
Hancock	46	187	16	165	142	22	84
Hillsborough	73	245	57	187	272	48	78
Hollis	196	650	105	558	380	40	239
Hudson	401	1174	169	771	968	177	310
Litchfield	158	435	77	352	300	87	106
Lyndeborough	29	118	19	75	125	14	25
Manchester Ward 1	266	589	70	637	542	75	256
Manchester Ward 2	181	513	73	436	609	58	240
Manchester Ward 3	140	311	41	167	538	36	180
Manchester Ward 4	133	240	51	226	584	58	133
Manchester Ward 5	116	167	44	110	454	47	63
Manchester Ward 6	205	402	48	399	493	84	133
Manchester Ward 7	156	318	53	233	542	62	91
Manchester Ward 8	199	424	69	362	443	77	137
Manchester Ward 9	177	345	72	254	554	72	131
Manchester Ward 10	159	275	69	288	508	73	139
Manchester Ward 11	99	228	77	187	585	60	104
Manchester Ward 12	162	402	55	342	559	57	183
Mason	17	71	9	47	79	13	23
Merrimack	409	1504	184	1287	1256	249	497
Milford	248	967	117	587	898	157	276
Mont Vernon	50	196	30	183	142	21	89
Nashua Ward 1	246	631	86	505	542	89	209
Nashua Ward 2	166	502	71	367	486	58	188
Nashua Ward 3	181	497	83	421	592	64	186
Nashua Ward 4	125	242	41	165	541	63	115
Nashua Ward 5	258	581	89	435	547	96	188
Nashua Ward 6	177	343	46	234	569	82	150
Nashua Ward 7	175	364	58	260	480	65	118
Nashua Ward 8	219	531	57	371	605	61	227
Nashua Ward 9	199	610	86	420	517	49	167
New Boston	83	295	53	294	300	47	109
New Ipswich	44	205	42	137	186	28	35
Pelham	217	594	81	377	522	135	144
Peterborough	160	555	52	505	662	51	299
Sharon	3	31	4	28	27	3	12
Temple	19	96	15	88	126	13	49
Weare	107	360	85	350	420	65	110
Wilton	68	225	32	192	299	33	92
Windsor	1	7	2	2	5	1	4
Alexandria	25	67	15	70	91	23	19
Ashland	31	103	22	62	143	28	35
Bath	0	37	3	29	52	5	23
Benton	4	7	2	3	27	1	4
Bethlehem	44	143	17	91	291	17	94
Bridgewater	0	52	9	43	69	9	30
Bristol	40	115	24	117	162	27	48
Campton	46	180	23	153	239	31	92
Canaan	37	204	30	119	218	24	86
Dorchester	3	10	4	12	30	3	3
Easton	8	16	3	35	44	3	18
Ellsworth	5	5	1	5	8	2	0
Enfield	79	311	41	205	292	39	135
Franconia	44	78	10	93	126	10	74
Grafton	24	48	16	33	66	3	21
Groton	5	19	5	17	0	7	4
Hanover	393	1397	37	1064	1078	37	973
Haverhill	43	124	13	80	213	10	48
Hebron	12	36	2	53	16	8	15
Holderness	58	162	15	121	140	21	70
Landaff	7	14	2	17	28	1	10
Lebanon Ward 1	98	395	30	289	332	25	250
Lebanon Ward 2	94	316	29	213	373	29	220
Lebanon Ward 3	76	366	26	214	385	26	270
Lincoln	36	50	9	50	81	14	31
Lisbon	20	56	4	33	72	8	17
Littleton	59	225	22	152	361	22	100
Lyman	10	19	3	27	41	0	13
Lyme	53	191	5	190	175	6	152
Monroe	7	43	4	14	44	3	16
Orange	7	3	0	15	24	2	9
Orford	26	83	7	75	85	5	49
Piermont	12	41	3	30	47	3	16
Plymouth	77	419	50	164	726	37	158
Rumney	14	72	13	65	105	10	39
Sugar Hill	22	60	3	45	46	13	25
Thornton	70	152	25	144	155	22	48
Warren	14	36	5	15	47	2	16
Waterville Valley	18	24	2	39	28	0	13
Wentworth	9	37	12	29	39	3	23
Woodstock	27	83	13	55	81	11	31
Berlin	183	344	72	249	479	84	126
Cambridge	0	0	0	0	0	0	0
Carroll	25	40	2	29	51	9	26
Clarksville	6	11	1	7	13	0	5
Colebrook	19	66	7	41	76	13	16
Columbia	9	14	1	23	27	3	6
Dalton	10	49	4	28	48	6	3
Dixville	0	1	0	0	1	0	0
Dummer	8	8	2	11	16	1	3
Errol	5	15	3	11	9	1	1
Erving's Location	0	0	0	0	0	0	0
Gorham	77	133	23	107	169	28	45
Green's Grant	0	0	0	1	0	0	0
Jefferson	19	43	8	45	40	0	10
Kilkenny	0	0	0	0	0	0	0
Lancaster	46	96	15	111	158	13	38
Milan	23	45	17	49	69	16	14
Millsfield	1	1	0	2	0	0	0
Northumberland	28	54	9	44	100	13	19
Odell	0	0	0	0	0	0	0
Pinkham's Grant	0	0	0	0	2	0	0
Pittsburg	9	16	6	14	9	4	4
Randolph	20	21	2	30	25	2	21
Second College Grant	0	0	0	0	0	0	0
Shelburne	7	18	5	25	20	1	12
Stark	11	8	3	14	23	6	3
Stewartstown	5	14	6	0	27	1	1
Stratford	13	16	5	12	37	7	7
Success	0	0	0	0	0	0	0
Wentworth's Location	0	1	0	1	0	0	0
Whitefield	42	80	15	83	163	18	35
Alstead	16	113	13	106	164	16	45
Chesterfield	51	240	18	215	288	25	120
Dublin	36	101	23	92	140	7	85
Fitzwilliam	38	72	18	107	146	24	50
Gilsum	7	39	11	33	72	5	10
Harrisville	34	82	5	133	127	22	46
Hinsdale	66	122	23	92	271	36	49
Jaffrey	100	264	60	217	331	46	102
Keene Ward 1	54	194	23	120	541	33	98
Keene Ward 2	87	273	31	209	506	46	167
Keene Ward 3	86	292	32	244	391	33	131
Keene Ward 4	74	329	36	293	434	35	156
Keene Ward 5	99	382	37	284	477	45	194
Marlborough	43	153	16	122	158	25	71
Marlow	14	33	7	36	64	9	20
Nelson	10	28	2	44	94	6	24
Richmond	17	53	17	44	50	7	24
Rindge	92	207	43	180	325	42	56
Roxbury	7	9	4	17	24	1	5
Stoddard	23	45	16	64	74	15	21
Sullivan	9	29	4	35	44	7	20
Surry	11	56	7	55	47	7	20
Swanzey	107	305	58	326	396	56	108
Troy	31	76	24	63	128	21	17
Walpole	60	301	20	244	284	36	88
Westmoreland	38	154	13	108	142	16	44
Winchester	55	101	26	133	255	30	45
Albany	10	29	8	36	69	2	19
Bartlett	87	214	31	220	219	21	81
Brookfield	14	43	4	36	38	6	9
Chatham	5	9	3	14	25	0	2
Conway	188	534	79	379	587	76	172
Eaton	12	26	2	31	45	4	10
Effingham	23	58	20	55	61	9	15
Freedom	26	134	11	69	74	7	21
Hale's Location	0	5	1	8	5	0	2
Hart's Location	1	0	1	6	2	0	4
Jackson	36	97	6	113	116	7	46
Madison	64	188	29	160	142	18	54
Moultonborough	104	285	47	243	190	33	63
Ossipee	67	129	22	118	171	16	28
Sandwich	37	105	7	173	114	8	62
Tamworth	39	122	24	132	194	15	85
Tuftonboro	49	175	21	135	92	18	36
Wakefield	75	188	45	135	186	32	51
Wolfeboro	183	472	42	401	275	50	143
Alton	124	217	31	202	170	40	72
Barnstead	58	151	29	143	251	43	68
Belmont	98	282	57	192	281	47	58
Center Harbor	26	50	4	64	53	12	16
Gilford	184	431	58	341	331	76	111
Gilmanton	68	158	27	144	209	27	56
Laconia Ward 1	65	150	11	114	84	24	39
Laconia Ward 2	41	97	15	87	116	15	28
Laconia Ward 3	50	121	17	127	104	21	52
Laconia Ward 4	43	108	15	70	131	15	42
Laconia Ward 5	17	69	10	49	113	10	17
Laconia Ward 6	68	131	27	118	105	22	29
Meredith	146	371	66	362	244	55	124
New Hampton	35	167	18	97	117	17	33
Sanbornton	49	141	21	139	190	28	43
Tilton	50	154	0	134	171	36	51
